11
1 N
2 N
3 N
4 N
5 N
6 F
7 N
8 N
9 N
10 N
11 N
22
9 0.6 0.3 375.0	2 0.3 0.2 -246.5
2 0.5 0.6 490.2	7 0.4 0.3 -335.9
4 0.4 0.2 214.5	7 0.2 0.2 -270.2
1 0.1 0.2 449.1	5 0.0 0.6 -464.8
3 0.1 0.6 149.4	4 0.6 0.5 -331.6
1 0.9 0.3 328.7	8 1.0 0.4 -330.7
1 0.6 0.6 490.6	6 0.6 0.3 -446.1
6 0.8 0.5 59.5	4 0.8 0.6 -489.3
6 0.6 0.3 476.1	1 0.7 0.2 -375.5
4 0.6 0.3 318.9	6 0.6 0.6 -79.0
5 0.5 0.5 52.6	1 0.0 0.4 -446.0
7 0.8 0.5 266.0	1 0.6 0.4 -395.0
1 0.3 0.4 328.4	7 0.7 0.6 -499.7
3 0.3 0.3 299.2	11 0.8 0.7 -306.9
7 0.9 0.7 312.9	6 0.8 0.7 -498.7
1 0.1 0.4 92.8	9 0.2 0.6 -360.4
7 0.1 0.4 440.3	11 0.4 0.4 -449.6
2 1.0 0.6 297.6	11 0.1 0.6 -307.5
4 1.0 0.3 310.1	3 0.3 0.6 -115.9
3 0.6 0.5 80.3	6 0.4 0.6 -310.6
2 0.2 0.3 46.8	9 0.3 0.6 -426.4
6 0.4 0.4 459.5	11 0.8 0.6 -419.4
